budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
all,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,32.0,8,2,0.25,340.5,0.5606706142425537
all,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,22.0,8,8,1.0,98.625,0.18199044466018677
all,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,24.0,8,8,1.0,241,0.40417543053627014
all,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,26.0,8,4,0.5,212,0.3562459349632263
all,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,28.0,8,2,0.25,111.5,0.21929848194122314
all,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,30.0,8,2,0.25,226.5,0.41593992710113525
all,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,32.0,8,2,0.25,382.5,0.7015508413314819
all,structsplat_flanking_tensor,SS flanking + tensor,22.0,8,8,1.0,100.125,0.18771272897720337
all,structsplat_flanking_tensor,SS flanking + tensor,24.0,8,8,1.0,255.125,0.42349162697792053
all,structsplat_flanking_tensor,SS flanking + tensor,26.0,8,4,0.5,210,0.36758947372436523
all,structsplat_flanking_tensor,SS flanking + tensor,28.0,8,2,0.25,122,0.22359001636505127
all,structsplat_flanking_tensor,SS flanking + tensor,30.0,8,2,0.25,251,0.4527243375778198
all,structsplat_flanking_tensor,SS flanking + tensor,32.0,8,2,0.25,441.5,0.7810318470001221
all,structsplat_quadtree_wse_residual,SS qt-WSE + residual,22.0,8,8,1.0,111.25,0.20027512311935425
all,structsplat_quadtree_wse_residual,SS qt-WSE + residual,24.0,8,8,1.0,255.375,0.4234214127063751
all,structsplat_quadtree_wse_residual,SS qt-WSE + residual,26.0,8,4,0.5,212.75,0.3547394275665283
all,structsplat_quadtree_wse_residual,SS qt-WSE + residual,28.0,8,2,0.25,123.5,0.2405492067337036
all,structsplat_quadtree_wse_residual,SS qt-WSE + residual,30.0,8,2,0.25,238,0.4369281530380249
all,structsplat_quadtree_wse_residual,SS qt-WSE + residual,32.0,8,2,0.25,413,0.7310750484466553
all,structsplat_quadtree_wse_residual_relocate,SS qt-WSE + residual relocate,22.0,8,8,1.0,119,0.22019782662391663
all,structsplat_quadtree_wse_residual_relocate,SS qt-WSE + residual relocate,24.0,8,8,1.0,266.375,0.4639568030834198
all,structsplat_quadtree_wse_residual_relocate,SS qt-WSE + residual relocate,26.0,8,4,0.5,219.75,0.3726810812950134
all,structsplat_quadtree_wse_residual_relocate,SS qt-WSE + residual relocate,28.0,8,2,0.25,133,0.26879215240478516
all,structsplat_quadtree_wse_residual_relocate,SS qt-WSE + residual relocate,30.0,8,2,0.25,261.5,0.507780909538269
all,structsplat_quadtree_wse_residual_relocate,SS qt-WSE + residual relocate,32.0,8,2,0.25,442,0.8231079578399658
all,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,22.0,8,8,1.0,103.25,0.1954531967639923
all,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,24.0,8,8,1.0,246.75,0.42206448316574097
all,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,26.0,8,4,0.5,204,0.3625238537788391
all,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,28.0,8,2,0.25,116.5,0.221732497215271
all,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,30.0,8,2,0.25,220,0.41359710693359375
all,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,32.0,8,2,0.25,376,0.6722820997238159
all,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,22.0,8,8,1.0,106.875,0.19212734699249268
all,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,24.0,8,8,1.0,243.5,0.41267266869544983
all,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,26.0,8,4,0.5,207.25,0.3664354085922241
all,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,28.0,8,2,0.25,120,0.21823716163635254
all,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,30.0,8,2,0.25,222,0.41112756729125977
all,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,32.0,8,2,0.25,377.5,0.6778206825256348
all,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,22.0,8,8,1.0,102.875,0.19213497638702393
all,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,24.0,8,8,1.0,252.625,0.42230263352394104
all,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,26.0,8,4,0.5,210.25,0.3672950863838196
all,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,28.0,8,2,0.25,119,0.22208642959594727
all,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,30.0,8,2,0.25,252.5,0.5037963390350342
all,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,32.0,8,2,0.25,437,0.873612642288208
all,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,22.0,8,8,1.0,94.625,0.18488070368766785
all,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,24.0,8,7,0.875,207.42857142857142,0.3650944232940674
all,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,26.0,8,4,0.5,200.75,0.3878498077392578
all,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,28.0,8,2,0.25,109.5,0.24450957775115967
all,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,30.0,8,2,0.25,203.5,0.42772376537323
all,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,32.0,8,2,0.25,363,0.6884154081344604
all,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,22.0,8,8,1.0,102.375,0.19635730981826782
all,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,24.0,8,8,1.0,249.625,0.4275759160518646
