final_budget,method,method_label,iter,mean_psnr,std_psnr,runs
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,499,27.157860040664673,3.5227384749886324,8
640,structsplat_onedge_tensor,SS on-edge + tensor,0,16.551165223121643,1.3043055193108428,8
640,structsplat_onedge_tensor,SS on-edge + tensor,25,20.774935245513916,2.416796100269496,8
640,structsplat_onedge_tensor,SS on-edge + tensor,50,21.922534704208374,2.5620784163223322,8
640,structsplat_onedge_tensor,SS on-edge + tensor,75,22.578416347503662,2.6666010302863046,8
640,structsplat_onedge_tensor,SS on-edge + tensor,100,22.992313623428345,2.7603657240764368,8
640,structsplat_onedge_tensor,SS on-edge + tensor,125,23.657645225524902,2.8313134882444113,8
640,structsplat_onedge_tensor,SS on-edge + tensor,150,24.049573183059692,2.844984145399513,8
640,structsplat_onedge_tensor,SS on-edge + tensor,175,23.88409662246704,2.7359838159183227,8
640,structsplat_onedge_tensor,SS on-edge + tensor,200,24.694849014282227,2.886691465074266,8
640,structsplat_onedge_tensor,SS on-edge + tensor,225,25.014672994613647,2.9369186084533556,8
640,structsplat_onedge_tensor,SS on-edge + tensor,250,23.80437445640564,2.669059003487171,8
640,structsplat_onedge_tensor,SS on-edge + tensor,275,25.42032265663147,3.004888906485263,8
640,structsplat_onedge_tensor,SS on-edge + tensor,300,25.760470151901245,3.0760278654453947,8
640,structsplat_onedge_tensor,SS on-edge + tensor,325,25.939520120620728,3.105131106054805,8
640,structsplat_onedge_tensor,SS on-edge + tensor,350,25.934841871261597,3.0816841186904558,8
640,structsplat_onedge_tensor,SS on-edge + tensor,375,26.351327657699585,3.1387060680223717,8
640,structsplat_onedge_tensor,SS on-edge + tensor,400,26.53997564315796,3.190309826821223,8
640,structsplat_onedge_tensor,SS on-edge + tensor,425,26.269700050354004,3.139475611423035,8
640,structsplat_onedge_tensor,SS on-edge + tensor,450,26.901734113693237,3.2585125399347765,8
640,structsplat_onedge_tensor,SS on-edge + tensor,475,27.107107639312744,3.3168087416816854,8
640,structsplat_onedge_tensor,SS on-edge + tensor,499,27.228189706802368,3.363880839877875,8
640,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,0,16.569723963737488,1.3094624167420374,8
640,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,25,20.8178391456604,2.430192530712682,8
640,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,50,21.96795129776001,2.555806264028642,8
640,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,75,22.593312740325928,2.6438624986211323,8
640,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,100,23.01527738571167,2.7362007067417355,8
