budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
2000,structsplat_quadtree_wse_residual,SS qt-WSE + residual,22.0,4,3,0.75,48.333333333333336,0.3103729883829753
2000,structsplat_quadtree_wse_residual,SS qt-WSE + residual,24.0,4,2,0.5,63.5,0.3605238199234009
2000,structsplat_quadtree_wse_residual,SS qt-WSE + residual,26.0,4,2,0.5,316.5,1.2530460357666016
2000,structsplat_quadtree_wse_residual,SS qt-WSE + residual,28.0,4,1,0.25,1242,4.595282793045044
2000,structsplat_quadtree_wse_residual,SS qt-WSE + residual,30.0,4,0,0.0,,
2000,structsplat_quadtree_wse_residual,SS qt-WSE + residual,32.0,4,0,0.0,,
2000,structsplat_quadtree_wse_residual,SS qt-WSE + residual,35.0,4,0,0.0,,
2000,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,22.0,4,3,0.75,59.666666666666664,0.28021669387817383
2000,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,24.0,4,2,0.5,59.5,0.2159022092819214
2000,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,26.0,4,0,0.0,,
2000,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,28.0,4,0,0.0,,
2000,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,30.0,4,0,0.0,,
2000,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,32.0,4,0,0.0,,
2000,structsplat_quadtree_wse_residual_featurecap,SS qt-WSE + residual feature cap,35.0,4,0,0.0,,
2000,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,22.0,4,3,0.75,52,0.3068195978800456
2000,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,24.0,4,2,0.5,66,0.36139559745788574
2000,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,26.0,4,2,0.5,337.5,1.2484530210494995
2000,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,28.0,4,0,0.0,,
2000,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,30.0,4,0,0.0,,
2000,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,32.0,4,0,0.0,,
2000,structsplat_quadtree_wse_residual_feature_rel,SS qt-WSE + residual feature-rel cap,35.0,4,0,0.0,,
2000,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,22.0,4,3,0.75,49.333333333333336,0.3093002637227376
2000,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,24.0,4,2,0.5,63.5,0.36468493938446045
2000,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,26.0,4,2,0.5,321,1.1269500255584717
2000,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,28.0,4,1,0.25,1238,4.305538654327393
2000,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,30.0,4,0,0.0,,
2000,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,32.0,4,0,0.0,,
2000,structsplat_quadtree_wse_tensor,SS qt-WSE + tensor,35.0,4,0,0.0,,
2000,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,22.0,4,3,0.75,59.666666666666664,0.279019832611084
2000,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,24.0,4,2,0.5,59.5,0.21412336826324463
2000,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,26.0,4,0,0.0,,
2000,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,28.0,4,0,0.0,,
2000,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,30.0,4,0,0.0,,
2000,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,32.0,4,0,0.0,,
2000,structsplat_quadtree_wse_tensor_featurecap,SS qt-WSE + tensor feature cap,35.0,4,0,0.0,,
2000,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,22.0,4,3,0.75,52.333333333333336,0.30728944142659503
2000,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,24.0,4,2,0.5,66,0.36244869232177734
2000,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,26.0,4,2,0.5,331.5,1.2499700784683228
2000,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,28.0,4,1,0.25,1245,4.498763084411621
2000,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,30.0,4,0,0.0,,
2000,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,32.0,4,0,0.0,,
2000,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,35.0,4,0,0.0,,
5000,structsplat_onedge_residual,SS on-edge + residual,22.0,4,4,1.0,191.75,0.8083356022834778
5000,structsplat_onedge_residual,SS on-edge + residual,24.0,4,3,0.75,64.66666666666667,0.38912685712178546
5000,structsplat_onedge_residual,SS on-edge + residual,26.0,4,3,0.75,438.3333333333333,1.488325834274292
5000,structsplat_onedge_residual,SS on-edge + residual,28.0,4,2,0.5,164.5,0.6738606691360474
5000,structsplat_onedge_residual,SS on-edge + residual,30.0,4,2,0.5,460.5,1.9764128923416138
5000,structsplat_onedge_residual,SS on-edge + residual,32.0,4,1,0.25,635,2.3925201892852783
5000,structsplat_onedge_residual,SS on-edge + residual,35.0,4,1,0.25,1279,4.647997856140137
5000,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,22.0,4,4,1.0,248.25,0.8366023302078247
5000,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,24.0,4,3,0.75,70.33333333333333,0.36399396260579425
5000,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,26.0,4,2,0.5,41.5,0.23142528533935547
5000,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,28.0,4,2,0.5,203,0.6634821891784668
5000,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,30.0,4,2,0.5,548.5,1.7431002855300903
5000,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,32.0,4,1,0.25,927,2.725569248199463
5000,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,35.0,4,0,0.0,,
5000,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,22.0,4,4,1.0,185,0.8288780450820923
5000,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,24.0,4,3,0.75,64,0.3809983730316162
5000,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,26.0,4,3,0.75,445,1.37751571337382
5000,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,28.0,4,2,0.5,166.5,0.6752461194992065
5000,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,30.0,4,2,0.5,449.5,1.8133853673934937
5000,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,32.0,4,1,0.25,520,1.7693960666656494
