image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,iters_to_target,n_gaussians,init_seconds,fit_seconds
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.6141,0.88803,0.96879,,,2000,0.43674254417419434,26.671106338500977
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,31.621,0.88979,0.96919,,,2000,0.4356999397277832,27.49236822128296
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,quadtree_aggregate,quadtree_aggregate,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,30.9817,0.88048,0.96235,,,2000,0.10953736305236816,28.501790285110474
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.2815,0.88136,0.96538,,,2000,0.39873194694519043,26.389568567276
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,30.8096,0.88222,0.963,,,2000,1.1512060165405273,27.071664094924927
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,28.8729,0.87168,0.95242,,,2000,0.5089554786682129,25.270544290542603
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,density_random,iso_blue_noise,density_random,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,30.0934,0.87162,0.95666,,,2000,0.03954052925109863,26.664480924606323
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,random_relocate,random,wse,relocate,750,64,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,28.7855,0.86496,0.95616,,,2000,0.0009088516235351562,28.447636365890503
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,random,random,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,31.9279,0.92054,0.98317,,,5000,0.002473115921020508,31.20186161994934
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,grid,grid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,31.8584,0.92254,0.98377,,,5000,0.0027120113372802734,28.437618017196655
