image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,color_solve_every,color_solve_lambda,color_solve_maxiter,early_exit,early_exit_window,early_exit_min_delta,early_exit_min_iters,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,auc_psnr,auc_psnr_horizon,iters_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,iso_blue_noise,iso_blue_noise,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,34.861,0.92478,0.98702,,33.02476662767674,observed,,5000,500,False,,0.7444536685943604,0.8585488796234131
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,aniso_onedge,aniso_onedge,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,34.5404,0.92255,0.98602,,33.14158816901381,observed,,5000,500,False,,0.989393949508667,0.820115327835083
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,aniso_flanking,aniso_flanking,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.5,0.02,0.15,6.0,1.0,34.4487,0.92305,0.9857,,33.071542495238276,observed,,5000,500,False,,1.0225272178649902,0.8210797309875488
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,quadtree_aggregate,quadtree_aggregate,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,35.048,0.92784,0.98721,,33.526311018185055,observed,433,5000,500,False,,0.08202910423278809,0.8145043849945068
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,quadtree_hybrid,quadtree_hybrid,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,34.7243,0.92449,0.98664,,33.21327709817218,observed,,5000,500,False,,0.9368212223052979,0.8177440166473389
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,quadtree_wse,quadtree_wse,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,34.7888,0.92629,0.98675,,33.29175808434496,observed,,5000,500,False,,1.1370189189910889,0.812873125076294
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.5,0.02,0.15,6.0,1.0,34.6787,0.9243,0.98635,,33.18712526523995,observed,,5000,500,False,,0.09800028800964355,0.812096118927002
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,density_random,iso_blue_noise,density_random,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,34.3991,0.9195,0.98552,,32.70067226432846,observed,,5000,500,False,,0.0076446533203125,0.7954666614532471
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,random_relocate,random,wse,relocate,250,64,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,35.2592,0.93957,0.99073,,32.70615477552395,observed,416,5000,500,False,,0.002293109893798828,0.8208034038543701
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,random,random,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,27.5608,0.91369,0.97692,,26.767382304510754,observed,,2000,500,False,,0.0005462169647216797,0.7554988861083984
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,grid,grid,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,28.0594,0.92011,0.97998,,27.217622462637678,observed,,2000,500,False,,0.0005362033843994141,0.7653331756591797
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,iso_blue_noise,iso_blue_noise,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,30.4751,0.93086,0.98546,,28.85795925423234,observed,,2000,500,False,,0.21267199516296387,0.759821891784668
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,aniso_onedge,aniso_onedge,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.4809,0.93641,0.98709,,29.72039510730751,observed,,2000,500,False,,0.30807018280029297,0.8094696998596191
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,aniso_flanking,aniso_flanking,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,31.1193,0.9343,0.9866,,29.554526241126663,observed,,2000,500,False,,0.3236570358276367,0.7682857513427734
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,quadtree_aggregate,quadtree_aggregate,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.411,0.93595,0.98673,,29.488340427498063,observed,,2000,500,False,,0.05110049247741699,0.8062100410461426
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,quadtree_hybrid,quadtree_hybrid,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.3882,0.93843,0.98785,,29.696892285394764,observed,,2000,500,False,,0.27129220962524414,0.7933864593505859
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,quadtree_wse,quadtree_wse,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.5093,0.93792,0.98683,,29.69744488901509,observed,,2000,500,False,,0.5642142295837402,0.786996603012085
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,31.2164,0.93141,0.9857,,29.23198890686035,observed,,2000,500,False,,0.10410237312316895,0.7766842842102051
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,density_random,iso_blue_noise,density_random,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,30.7766,0.93184,0.98627,,28.745547371063537,observed,,2000,500,False,,0.008199214935302734,0.7662348747253418
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,random_relocate,random,wse,relocate,250,64,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,27.8717,0.91307,0.9752,,26.82753158905702,observed,,2000,500,False,,0.0007283687591552734,0.798220157623291
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,random,random,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,34.6318,0.97323,0.99625,,31.985254092780288,observed,,5000,500,False,,0.0010285377502441406,0.7773475646972656
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,grid,grid,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,35.2655,0.97553,0.99678,,32.45519230982106,observed,356,5000,500,False,,0.0009093284606933594,0.7868483066558838
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,iso_blue_noise,iso_blue_noise,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,37.7022,0.97792,0.99692,,34.250142829451626,observed,184,5000,500,False,,0.7120869159698486,0.804365873336792
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,aniso_onedge,aniso_onedge,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,37.6234,0.97826,0.99694,,34.859138993318666,observed,138,5000,500,False,,0.9643020629882812,0.7922003269195557
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,aniso_flanking,aniso_flanking,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.5,0.02,0.15,6.0,1.0,37.3926,0.97797,0.99689,,34.675462875672,observed,148,5000,500,False,,0.9693145751953125,0.7780544757843018
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,quadtree_aggregate,quadtree_aggregate,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,37.576,0.9785,0.99691,,34.76224035060478,observed,141,5000,500,False,,0.19277715682983398,0.8146712779998779
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,quadtree_hybrid,quadtree_hybrid,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,37.485,0.97881,0.99705,,34.739252239525435,observed,141,5000,500,False,,0.8370625972747803,0.801966667175293
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,quadtree_wse,quadtree_wse,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,37.5676,0.97829,0.9969,,34.850497702558435,observed,138,5000,500,False,,1.185102939605713,0.7828996181488037
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.5,0.02,0.15,6.0,1.0,37.2833,0.97798,0.99692,,34.604734822122275,observed,145,5000,500,False,,0.10085511207580566,0.7770431041717529
kodim07,results/datasets/abl004/kodak24/kodim07.png,256,384,384,density_random,iso_blue_noise,density_random,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,37.4212,0.97784,0.99694,,34.09340182287182,observed,189,5000,500,False,,0.008021116256713867,0.7997474670410156
