image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,color_solve_every,color_solve_lambda,color_solve_maxiter,early_exit,early_exit_window,early_exit_min_delta,early_exit_min_iters,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,auc_psnr,auc_psnr_horizon,iters_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds
kodim03,results/datasets/abl004/kodak24/kodim03.png,512,768,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,31.7067,0.88189,0.96204,,31.629017121160405,observed,,2000,1500,False,,0.3096153736114502,5.433808088302612
kodim03,results/datasets/abl004/kodak24/kodim03.png,512,768,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.9668,0.88424,0.96474,,31.92653338411317,observed,,2000,1500,False,,0.7347805500030518,5.457233905792236
kodim03,results/datasets/abl004/kodak24/kodim03.png,512,768,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,32.0645,0.88251,0.9629,,31.70289099415276,observed,,2000,1500,False,,0.7669034004211426,5.152505874633789
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,29.8645,0.80689,0.93074,,29.763309304439044,observed,,2000,1500,False,,0.31395459175109863,4.721990585327148
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.5,0.02,0.15,6.0,1.0,30.1047,0.80866,0.93426,,29.80633673053968,observed,,2000,1500,False,,0.31007957458496094,4.651321887969971
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,30.2632,0.81057,0.93571,,29.892493714325582,observed,,2000,1500,False,,0.3239872455596924,4.714712619781494
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,29.7729,0.80848,0.93252,,29.870644424341773,observed,,2000,1500,False,,0.3202085494995117,4.519876003265381
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,29.5019,0.80243,0.93176,,29.240019695213274,observed,,2000,1500,False,,0.3918004035949707,4.836609840393066
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.5,0.02,0.15,6.0,1.0,29.4925,0.8011,0.93111,,29.226859780452187,observed,,2000,1500,False,,0.3903779983520508,4.723755359649658
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,30.2498,0.80661,0.93381,,29.713524678454867,observed,,2000,1500,False,,0.22059178352355957,4.392420768737793
kodim04,results/datasets/abl004/kodak24/kodim04.png,768,512,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,29.7552,0.80414,0.93098,,29.611587481151986,observed,,2000,1500,False,,0.2324538230895996,5.06296443939209
