image,budget,seed,strategy,psnr_arm,ms_ssim_arm,edge_mae_arm,auc_psnr_arm,fit_seconds_arm,total_seconds_arm,iterations_run_arm,init_seconds_arm,psnr_single,ms_ssim_single,edge_mae_single,auc_psnr_single,fit_seconds_single,total_seconds_single,iterations_run_single,init_seconds_single,d_psnr,d_ms_ssim,d_edge_mae,d_auc_psnr,d_fit_seconds,d_total_seconds,d_iterations_run,d_init_seconds,arm
kodim13,2000,0,aniso_onedge,20.5989,0.78054,0.094158,19.43447531852188,5.285110235214233,5.389592170715332,1500,0.0993618965148925,20.2951,0.79866,0.095207,20.46915054321289,5.258689880371094,5.549558877944946,1500,0.2858781814575195,0.30379999999999896,-0.018120000000000025,-0.0010489999999999944,-1.0346752246910107,0.02642035484313965,-0.15996670722961426,0,-0.18651628494262698,refine_twin
kodim13,2000,0,quadtree_wse,20.6267,0.78016,0.09365,19.434743246290985,5.440385818481445,5.674374580383301,1500,0.2300233840942382,20.3094,0.79853,0.095377,20.4346803763137,4.99826979637146,5.582338333129883,1500,0.5792059898376465,0.31729999999999947,-0.018369999999999997,-0.0017270000000000063,-0.9999371300227153,0.44211602210998535,0.09203624725341797,0,-0.3491826057434083,refine_twin
kodim19,2000,0,aniso_onedge,25.2093,0.8819,0.049545,24.672730962461912,5.130734443664551,5.247977018356323,1500,0.1133773326873779,26.3971,0.91357,0.042944,27.00616674887649,5.33757209777832,5.678576707839966,1500,0.3358008861541748,-1.1877999999999993,-0.031669999999999976,0.006600999999999996,-2.333435786414576,-0.20683765411376953,-0.4305996894836426,0,-0.2224235534667969,refine_twin
kodim19,2000,0,quadtree_wse,27.1035,0.88756,0.044326,25.12962492598622,5.198074102401733,5.468126535415649,1500,0.2648699283599853,27.3506,0.91544,0.040552,27.23501476532145,5.438495397567749,6.046844244003296,1500,0.6030752658843994,-0.24709999999999965,-0.027880000000000016,0.0037739999999999996,-2.1053898393352277,-0.24042129516601562,-0.5787177085876465,0,-0.3382053375244141,refine_twin
kodim01,5000,0,aniso_onedge,25.8871,0.92911,0.045752,24.234399150418312,4.697686195373535,4.957491397857666,1500,0.2561056613922119,25.5663,0.92724,0.046787,25.429016622246863,4.64297342300415,5.516396999359131,1500,0.8697187900543213,0.320800000000002,0.0018700000000000383,-0.0010350000000000012,-1.1946174718285505,0.054712772369384766,-0.5589056015014648,0,-0.6136131286621094,refine_twin
kodim01,5000,0,quadtree_wse,25.6889,0.92623,0.045988,24.185734669314456,4.5272839069366455,5.177731037139893,1500,0.6467068195343018,25.4443,0.92602,0.047108,25.4952709154736,4.752824306488037,6.3940370082855225,1500,1.6373190879821775,0.24460000000000193,0.00021000000000004349,-0.001119999999999996,-1.3095362461591442,-0.2255403995513916,-1.2163059711456299,0,-0.9906122684478758,refine_twin
kodim07,5000,0,aniso_onedge,31.8652,0.97769,0.021597,29.503324136485887,5.322269439697266,5.587049007415772,1500,0.2597453594207763,32.6475,0.98555,0.019218,33.00327685358049,4.837054252624512,5.783649682998657,1500,0.9428839683532716,-0.7822999999999993,-0.00786000000000009,0.0023790000000000026,-3.499952717094601,0.4852151870727539,-0.19660067558288485,0,-0.6831386089324953,refine_twin
kodim07,5000,0,quadtree_wse,32.2977,0.97947,0.02257,29.459507290087515,5.264264106750488,5.913822174072266,1500,0.6455256938934326,33.3024,0.98652,0.019556,33.19543841682012,4.933730363845825,6.480473279953003,1500,1.5417728424072266,-1.0046999999999997,-0.007050000000000001,0.0030139999999999993,-3.735931126732602,0.3305337429046631,-0.5666511058807373,0,-0.896247148513794,refine_twin
kodim13,5000,0,aniso_onedge,22.6297,0.85405,0.070294,21.04134800626565,5.069557905197144,5.363904237747192,1500,0.2904567718505859,22.4098,0.88515,0.071843,22.306260532661625,5.054528474807739,5.920515537261963,1500,0.8608808517456055,0.2198999999999991,-0.031100000000000017,-0.0015490000000000087,-1.2649125263959746,0.015029430389405185,-0.5566112995147705,0,-0.5704240798950195,refine_twin
kodim13,5000,0,quadtree_wse,22.3775,0.84737,0.070812,20.94749198173029,5.401537179946899,5.919177770614624,1500,0.5133590698242188,22.5342,0.8817,0.071954,22.362625232134125,4.793936014175415,6.148894786834717,1500,1.3512227535247805,-0.15669999999999717,-0.03433000000000008,-0.0011420000000000041,-1.4151332504038336,0.6076011657714844,-0.22971701622009277,0,-0.8378636837005617,refine_twin
kodim19,5000,0,aniso_onedge,30.7076,0.93996,0.026526,28.158827321063367,5.760321140289307,6.134396076202393,1500,0.3686163425445556,30.045,0.95238,0.027299,29.83786584537295,6.12729287147522,7.164724349975586,1500,1.0310263633728027,0.6625999999999976,-0.012419999999999987,-0.0007729999999999994,-1.6790385243095827,-0.3669717311859131,-1.0303282737731934,0,-0.6624100208282471,refine_twin
kodim19,5000,0,quadtree_wse,29.7456,0.93626,0.028515,27.822587772875806,5.514116525650024,6.039785623550415,1500,0.520512580871582,30.2945,0.95355,0.026776,30.03922332422665,6.180785179138184,7.478650093078613,1500,1.2917628288269043,-0.5488999999999997,-0.017290000000000028,0.0017389999999999975,-2.2166355513508442,-0.6666686534881592,-1.4388644695281982,0,-0.7712502479553223,refine_twin
