image,budget,seed,strategy,psnr_arm,ms_ssim_arm,edge_mae_arm,auc_psnr_arm,fit_seconds_arm,total_seconds_arm,iterations_run_arm,psnr_single,ms_ssim_single,edge_mae_single,auc_psnr_single,fit_seconds_single,total_seconds_single,iterations_run_single,psnr_pyramid_split_1500,ms_ssim_pyramid_split_1500,edge_mae_pyramid_split_1500,auc_psnr_pyramid_split_1500,fit_seconds_pyramid_split_1500,total_seconds_pyramid_split_1500,iterations_run_pyramid_split_1500,d_psnr_vs_single,d_psnr_vs_pyramid_split_1500,d_ms_ssim_vs_single,d_ms_ssim_vs_pyramid_split_1500,d_edge_mae_vs_single,d_edge_mae_vs_pyramid_split_1500,d_auc_psnr_vs_single,d_auc_psnr_vs_pyramid_split_1500,d_fit_seconds_vs_single,d_fit_seconds_vs_pyramid_split_1500,d_total_seconds_vs_single,d_total_seconds_vs_pyramid_split_1500,d_iterations_run_vs_single,d_iterations_run_vs_pyramid_split_1500,arm
kodim07,2000,0,quadtree_wse,28.7526,0.96415,0.035196,28.261346423204454,5.400979280471802,6.1182615756988525,1500,25.4897,0.93821,0.039455,27.739478468179225,4.683631181716919,5.391913414001465,1500,29.8606,0.9709,0.03413,26.806940389840584,4.869863271713257,5.592299699783325,1500,3.262900000000002,-1.1080000000000005,0.025939999999999963,-0.006750000000000034,-0.004258999999999999,0.0010659999999999975,0.521867955025229,1.4544060333638704,0.7173480987548828,0.5311160087585449,0.7263481616973877,0.5259618759155273,0,0,pyramid_leveliters_200_1300
kodim07,5000,0,aniso_onedge,34.9957,0.9911,0.018467,32.977604923286464,5.611672878265381,6.47177791595459,1500,32.6475,0.98555,0.019218,33.00327685358049,4.837054252624512,5.783649682998657,1500,34.0212,0.98974,0.020759,30.264150437551628,5.374202728271484,6.274491786956787,1500,2.3481999999999985,0.974499999999999,0.005549999999999944,0.0013600000000000279,-0.0007509999999999982,-0.002291999999999999,-0.025671930294024037,2.713454485734836,0.7746186256408691,0.23747014999389648,0.6881282329559326,0.19728612899780273,0,0,pyramid_leveliters_200_1300
kodim07,5000,0,quadtree_wse,35.1729,0.99124,0.018044,33.05129061260567,5.749868631362915,7.304680109024048,1500,33.3024,0.98652,0.019556,33.19543841682012,4.933730363845825,6.480473279953003,1500,34.5329,0.99033,0.019536,30.24234741572303,5.4842681884765625,7.052940607070923,1500,1.8704999999999998,0.6400000000000006,0.0047200000000000575,0.0009099999999999664,-0.0015119999999999995,-0.0014920000000000003,-0.14414780421444817,2.8089431968826375,0.8161382675170898,0.26560044288635254,0.8242068290710449,0.251739501953125,0,0,pyramid_leveliters_200_1300
kodim13,2000,0,aniso_onedge,20.6826,0.82231,0.094582,20.248571937286197,5.813108205795288,6.134506464004517,1500,20.2951,0.79866,0.095207,20.46915054321289,5.258689880371094,5.549558877944946,1500,20.5919,0.81709,0.094991,19.721924434430285,5.346482038497925,5.639872074127197,1500,0.3874999999999993,0.09070000000000178,0.02364999999999995,0.005220000000000002,-0.0006250000000000006,-0.0004090000000000066,-0.22057860592669343,0.5266475028559121,0.5544183254241943,0.4666261672973633,0.5849475860595703,0.49463438987731934,0,0,pyramid_leveliters_200_1300
kodim13,2000,0,quadtree_wse,20.6637,0.82014,0.09463,20.23573307803347,5.761583089828491,6.366784572601318,1500,20.3094,0.79853,0.095377,20.4346803763137,4.99826979637146,5.582338333129883,1500,20.6606,0.81784,0.094436,19.73753641508992,5.552552700042725,6.127247095108032,1500,0.3542999999999985,0.0030999999999998806,0.021610000000000018,0.0022999999999999687,-0.0007469999999999977,0.00019399999999999973,-0.19894729828023117,0.49819666294354903,0.7633132934570312,0.2090303897857666,0.7844462394714355,0.23953747749328613,0,0,pyramid_leveliters_200_1300
kodim13,5000,0,aniso_onedge,22.7485,0.89845,0.072057,22.03813531034545,6.033044815063477,6.964764356613159,1500,22.4098,0.88515,0.071843,22.306260532661625,5.054528474807739,5.920515537261963,1500,22.6886,0.89606,0.072652,21.223221249545396,5.255638599395752,6.075949907302856,1500,0.33869999999999933,0.059899999999998954,0.013299999999999979,0.0023900000000000032,0.00021399999999999197,-0.0005949999999999983,-0.26812522231617564,0.8149140608000529,0.9785163402557373,0.7774062156677246,1.0442488193511963,0.8888144493103036,0,0,pyramid_leveliters_200_1300
kodim13,5000,0,quadtree_wse,22.684,0.8953,0.072276,21.992605437112697,6.09586501121521,7.408809423446655,1500,22.5342,0.8817,0.071954,22.362625232134125,4.793936014175415,6.148894786834717,1500,22.6587,0.89507,0.072789,21.1808876994453,5.765066862106323,7.034983158111572,1500,0.1498000000000026,0.025300000000001432,0.013599999999999945,0.00022999999999995246,0.00032200000000000284,-0.0005129999999999996,-0.37001979502142746,0.8117177376673972,1.301928997039795,0.3307981491088867,1.2599146366119385,0.373826265335083,0,0,pyramid_leveliters_200_1300
kodim19,2000,0,aniso_onedge,28.0292,0.92571,0.0402,26.9980095582775,5.6848790645599365,6.047989130020142,1500,26.3971,0.91357,0.042944,27.00616674887649,5.33757209777832,5.678576707839966,1500,27.8494,0.92646,0.04083,25.650596739531675,5.424733400344849,5.799237489700317,1500,1.6321000000000012,0.17980000000000018,0.01214000000000004,-0.0007499999999999174,-0.0027440000000000034,-0.0006299999999999986,-0.008157190598989672,1.3474128187458234,0.3473069667816162,0.2601456642150879,0.3694124221801758,0.24875164031982422,0,0,pyramid_leveliters_200_1300
kodim19,2000,0,quadtree_wse,27.9687,0.92489,0.039825,26.8389623876092,5.696821451187134,6.359551906585693,1500,27.3506,0.91544,0.040552,27.23501476532145,5.438495397567749,6.046844244003296,1500,27.7448,0.92427,0.041537,25.561646351423004,5.428826332092285,6.064196586608887,1500,0.6180999999999983,0.22389999999999688,0.009449999999999958,0.0006199999999999539,-0.0007269999999999985,-0.0017119999999999982,-0.3960523777122482,1.2773160361861962,0.25832605361938477,0.26799511909484863,0.31270766258239746,0.29535531997680664,0,0,pyramid_leveliters_200_1300
kodim19,5000,0,aniso_onedge,31.1971,0.96309,0.026292,29.836059654291827,6.654516696929932,7.490317106246948,1500,30.045,0.95238,0.027299,29.83786584537295,6.12729287147522,7.164724349975586,1500,31.2694,0.96402,0.026271,28.481836955176743,6.1327784061431885,7.107537269592285,1500,1.1520999999999972,-0.07230000000000203,0.010709999999999997,-0.0009299999999999864,-0.001007000000000001,2.1000000000000185e-05,-0.0018061910811226767,1.354222699115084,0.5272238254547119,0.5217382907867432,0.3255927562713623,0.3827798366546631,0,0,pyramid_leveliters_200_1300
